"","ref","tooth","tribe","species"
"1","DSCN2871","LM1","Alcelaphini","Alcelaphus buselaphus"
"2","DSCN2879","LM1","Alcelaphini","Alcelaphus buselaphus"
"3","DSCN2892","LM1","Alcelaphini","Alcelaphus buselaphus"
"4","DSCN2896","LM1","Alcelaphini","Alcelaphus buselaphus"
"5","DSCN2904","LM1","Alcelaphini","Alcelaphus buselaphus"
"6","DSCN2908","LM1","Alcelaphini","Alcelaphus buselaphus"
"7","DSCN2913","LM1","Alcelaphini","Alcelaphus buselaphus"
"8","DSCN2923","LM1","Alcelaphini","Alcelaphus buselaphus"
"9","DSCN2927","LM1","Alcelaphini","Alcelaphus buselaphus"
"10","DSCN2931","LM1","Alcelaphini","Alcelaphus buselaphus"
"11","DSCN4148","LM1","Alcelaphini","Alcelaphus buselaphus"
"12","DSCN4151","LM1","Alcelaphini","Alcelaphus buselaphus"
"13","DSCN4796","LM1","Alcelaphini","Alcelaphus buselaphus"
"14","DSCN4805","LM1","Alcelaphini","Alcelaphus buselaphus"
"15","DSCN4817","LM1","Alcelaphini","Alcelaphus buselaphus"
"16","DSCN4821","LM1","Alcelaphini","Alcelaphus buselaphus"
"17","DSCN4825","LM1","Alcelaphini","Alcelaphus buselaphus"
"18","DSCN4833","LM1","Alcelaphini","Alcelaphus buselaphus"
"19","DSCN4837","LM1","Alcelaphini","Alcelaphus buselaphus"
"20","DSCN4842","LM1","Alcelaphini","Alcelaphus buselaphus"
"21","DSCN4846","LM1","Alcelaphini","Alcelaphus buselaphus"
"22","DSCN4851","LM1","Alcelaphini","Alcelaphus buselaphus"
"23","DSCN2870","LM2","Alcelaphini","Alcelaphus buselaphus"
"24","DSCN2878","LM2","Alcelaphini","Alcelaphus buselaphus"
"25","DSCN2884","LM2","Alcelaphini","Alcelaphus buselaphus"
"26","DSCN2888","LM2","Alcelaphini","Alcelaphus buselaphus"
"27","DSCN2891","LM2","Alcelaphini","Alcelaphus buselaphus"
"28","DSCN2895","LM2","Alcelaphini","Alcelaphus buselaphus"
"29","DSCN2898","LM2","Alcelaphini","Alcelaphus buselaphus"
"30","DSCN2903","LM2","Alcelaphini","Alcelaphus buselaphus"
"31","DSCN2907","LM2","Alcelaphini","Alcelaphus buselaphus"
"32","DSCN2912","LM2","Alcelaphini","Alcelaphus buselaphus"
"33","DSCN2922","LM2","Alcelaphini","Alcelaphus buselaphus"
"34","DSCN2926","LM2","Alcelaphini","Alcelaphus buselaphus"
"35","DSCN2930","LM2","Alcelaphini","Alcelaphus buselaphus"
"36","DSCN4147","LM2","Alcelaphini","Alcelaphus buselaphus"
"37","DSCN4150","LM2","Alcelaphini","Alcelaphus buselaphus"
"38","DSCN4154","LM2","Alcelaphini","Alcelaphus buselaphus"
"39","DSCN4795","LM2","Alcelaphini","Alcelaphus buselaphus"
"40","DSCN4799","LM2","Alcelaphini","Alcelaphus buselaphus"
"41","DSCN4803","LM2","Alcelaphini","Alcelaphus buselaphus"
"42","DSCN4807","LM2","Alcelaphini","Alcelaphus buselaphus"
"43","DSCN4811","LM2","Alcelaphini","Alcelaphus buselaphus"
"44","DSCN4816","LM2","Alcelaphini","Alcelaphus buselaphus"
"45","DSCN4820","LM2","Alcelaphini","Alcelaphus buselaphus"
"46","DSCN4824","LM2","Alcelaphini","Alcelaphus buselaphus"
"47","DSCN4828","LM2","Alcelaphini","Alcelaphus buselaphus"
"48","DSCN4832","LM2","Alcelaphini","Alcelaphus buselaphus"
"49","DSCN4836","LM2","Alcelaphini","Alcelaphus buselaphus"
"50","DSCN4841","LM2","Alcelaphini","Alcelaphus buselaphus"
"51","DSCN4845","LM2","Alcelaphini","Alcelaphus buselaphus"
"52","DSCN4850","LM2","Alcelaphini","Alcelaphus buselaphus"
"53","DSCN2869","LM3","Alcelaphini","Alcelaphus buselaphus"
"54","DSCN2873","LM3","Alcelaphini","Alcelaphus buselaphus"
"55","DSCN2877","LM3","Alcelaphini","Alcelaphus buselaphus"
"56","DSCN2883","LM3","Alcelaphini","Alcelaphus buselaphus"
"57","DSCN2887","LM3","Alcelaphini","Alcelaphus buselaphus"
"58","DSCN2890","LM3","Alcelaphini","Alcelaphus buselaphus"
"59","DSCN2894","LM3","Alcelaphini","Alcelaphus buselaphus"
"60","DSCN2897","LM3","Alcelaphini","Alcelaphus buselaphus"
"61","DSCN2902","LM3","Alcelaphini","Alcelaphus buselaphus"
"62","DSCN2906","LM3","Alcelaphini","Alcelaphus buselaphus"
"63","DSCN2910","LM3","Alcelaphini","Alcelaphus buselaphus"
"64","DSCN2921","LM3","Alcelaphini","Alcelaphus buselaphus"
"65","DSCN2925","LM3","Alcelaphini","Alcelaphus buselaphus"
"66","DSCN2929","LM3","Alcelaphini","Alcelaphus buselaphus"
"67","DSCN4146","LM3","Alcelaphini","Alcelaphus buselaphus"
"68","DSCN4149","LM3","Alcelaphini","Alcelaphus buselaphus"
"69","DSCN4153","LM3","Alcelaphini","Alcelaphus buselaphus"
"70","DSCN4794","LM3","Alcelaphini","Alcelaphus buselaphus"
"71","DSCN4798","LM3","Alcelaphini","Alcelaphus buselaphus"
"72","DSCN4802","LM3","Alcelaphini","Alcelaphus buselaphus"
"73","DSCN4806","LM3","Alcelaphini","Alcelaphus buselaphus"
"74","DSCN4810","LM3","Alcelaphini","Alcelaphus buselaphus"
"75","DSCN4815","LM3","Alcelaphini","Alcelaphus buselaphus"
"76","DSCN4819","LM3","Alcelaphini","Alcelaphus buselaphus"
"77","DSCN4823","LM3","Alcelaphini","Alcelaphus buselaphus"
